node,Ki,Ci,bi,sum
PUT.R,90,88,90,268
PCUN.L,89,90,89,268
PCUN.R,86,87,88,261
THA.R,88,84,87,259
THA.L,85,85,84,254
SOG.L,87,80,85,252
SMA.L,82,83,86,251
PUT.L,83,78,83,244
SOG.R,84,73,82,239
CAU.R,67,89,81,237
IFGtri.L,80,71,79,230
IFGtri.R,75,76,77,228
CAU.L,66,86,76,228
HIP.R,77,74,74,225
ITG.R,81,63,80,224
PoCG.R,71,72,78,221
CAL.L,78,69,72,219
ITG.L,76,67,73,216
SFGmed.L,65,79,68,212
SFG.R,68,77,65,210
IFGorb.L,79,50,71,200
SFGorb.L,61,70,69,200
SPG.L,60,64,75,199
IFGorb.R,70,56,70,196
PreCG.L,58,62,67,187
MOG.L,74,48,64,186
MTG.L,73,52,61,186
SFG.L,52,66,66,184
SFGorb.R,45,81,58,184
HIP.L,62,60,59,181
PreCG.R,63,51,63,177
SMA.R,56,65,52,173
INS.L,57,55,60,172
MTG.R,72,42,56,170
TPOmid.R,53,58,55,166
CAL.R,64,44,54,162
LING.L,54,61,47,162
TPOmid.L,48,59,46,153
PoCG.L,50,40,62,152
REC.R,27,82,41,150
CUN.L,69,33,45,147
REC.L,38,57,50,145
CUN.R,59,35,48,142
INS.R,47,41,51,139
SFGmorb.L,26,68,44,138
STG.R,49,31,57,137
STG.L,55,27,53,135
DCG.R,41,46,43,130
PCL.L,36,53,37,126
SFGmed.R,42,39,40,121
SPG.R,37,34,49,120
TPOsup.R,31,47,35,113
SFGmorb.R,11,75,27,113
DCG.L,39,37,36,112
FFG.L,51,26,34,111
MOG.R,44,21,42,107
LING.R,43,25,38,106
FFG.R,46,17,39,102
MFGorb.L,32,30,31,93
ACG.L,17,43,32,92
TPOsup.L,40,24,28,92
MFG.R,33,28,30,91
MFGorb.R,22,36,26,84
ROL.R,25,19,33,77
PHG.R,21,32,24,77
IPL.L,34,15,23,72
SMG.R,30,9,29,68
OLF.R,6,45,17,68
AMYG.R,4,54,9,67
OLF.L,8,38,19,65
ROL.L,23,13,25,61
IOG.R,35,6,20,61
IFGoper.R,19,18,22,59
PHG.L,29,16,14,59
ACG.R,14,29,15,58
MFG.L,28,12,12,52
IFGoper.L,24,11,16,51
HES.R,1,49,1,51
AMYG.L,16,23,7,46
PAL.R,13,20,11,44
ANG.R,18,4,21,43
IPL.R,15,7,18,40
PCL.R,9,22,8,39
IOG.L,20,3,13,36
ANG.L,12,5,10,27
PCG.L,10,8,6,24
HES.L,2,14,2,18
PAL.L,3,10,3,16
SMG.L,7,1,5,13
PCG.R,5,2,4,11