node,Ki,Ci,bi,sum
PCUN.L,90,86,90,266
PUT.R,89,87,89,265
THA.L,87,85,87,259
PCUN.R,88,79,88,255
THA.R,84,84,86,254
SFGorb.L,76,82,82,240
SMA.L,79,73,80,232
SOG.R,86,58,85,229
SPG.L,77,71,81,229
MOG.L,83,67,79,229
SOG.L,85,59,84,228
ITG.R,82,62,83,227
SFG.L,74,75,77,226
SFG.R,73,77,71,221
CAU.R,63,83,74,220
ITG.L,80,65,70,215
PreCG.R,68,74,72,214
PUT.L,81,54,78,213
SFGorb.R,61,70,76,207
IFGtri.L,70,63,67,200
MOG.R,71,53,75,199
CAU.L,52,80,66,198
PreCG.L,66,56,73,195
PoCG.R,54,68,69,191
HIP.R,75,48,68,191
SFGmed.L,64,61,63,188
INS.L,65,60,60,185
SPG.R,62,64,59,185
TPOmid.R,42,78,61,181
REC.L,37,76,65,178
CAL.L,78,36,62,176
SFGmorb.R,34,89,53,176
REC.R,29,88,56,173
PoCG.L,59,46,64,169
MTG.R,69,38,54,161
SMA.R,60,55,42,157
PCL.L,45,69,41,155
TPOmid.L,57,50,43,150
DCG.L,47,49,51,147
IFGtri.R,41,52,52,145
MFG.R,44,43,57,144
STG.L,55,39,50,144
CUN.R,72,25,45,142
STG.R,39,47,55,141
MTG.L,58,34,49,141
CAL.R,67,28,44,139
SFGmorb.L,19,81,39,139
MFG.L,49,30,58,137
SFGmed.R,43,45,38,126
TPOsup.L,50,27,47,124
IFGorb.L,53,29,40,122
IFGorb.R,40,32,48,120
FFG.R,51,21,46,118
TPOsup.R,20,57,35,112
HIP.L,46,35,30,111
CUN.L,56,14,37,107
FFG.L,48,22,36,106
DCG.R,36,33,33,102
MFGorb.L,31,42,24,97
INS.R,27,44,22,93
HES.R,1,90,1,92
ACG.R,33,26,32,91
OLF.R,15,51,25,91
AMYG.R,16,40,34,90
ACG.L,23,31,31,85
LING.L,35,24,26,85
LING.R,38,18,28,84
OLF.L,3,72,9,84
MFGorb.R,7,66,10,83
SMG.R,28,23,21,72
ROL.L,26,13,29,68
IPL.L,32,9,27,68
ANG.R,30,6,23,59
IOG.L,25,16,16,57
AMYG.L,13,19,20,52
PAL.R,5,41,4,50
PHG.R,14,20,15,49
ROL.R,22,7,19,48
IPL.R,21,11,14,46
PCG.L,12,15,17,44
PAL.L,2,37,3,42
IOG.R,24,3,13,40
PHG.L,11,17,12,40
ANG.L,17,4,18,39
IFGoper.L,18,5,11,34
IFGoper.R,8,10,8,26
PCL.R,10,8,7,25
HES.L,4,12,2,18
SMG.L,9,1,5,15
PCG.R,6,2,6,14