node,Ki,Ci,bi,sum
PUT.R,90,89,90,269
MOG.L,89,82,88,259
PUT.L,88,80,89,257
CAU.R,86,83,87,256
THA.L,81,87,83,251
THA.R,84,79,86,249
SMA.L,83,76,85,244
PCUN.L,85,67,84,236
PCUN.R,82,57,81,220
HIP.L,66,84,69,219
SFG.L,76,68,74,218
SOG.R,87,47,79,213
SFGorb.R,57,77,78,212
PreCG.R,74,65,73,212
PreCG.L,79,55,76,210
TPOmid.R,52,86,72,210
SFGorb.L,70,59,80,209
REC.L,45,81,77,203
SPG.R,55,85,60,200
PoCG.L,80,33,82,195
ITG.L,71,50,71,192
SOG.L,77,34,75,186
SFG.R,64,58,64,186
INS.L,73,53,58,184
CAU.L,54,62,66,182
DCG.R,50,70,62,182
ITG.R,78,37,65,180
SMA.R,61,63,55,179
PoCG.R,63,48,67,178
SFGmed.L,59,51,59,169
IFGorb.R,62,38,68,168
INS.R,42,72,49,163
SFGmed.R,56,60,47,163
DCG.L,47,64,51,162
MFG.R,51,61,50,162
MTG.R,53,45,63,161
CAL.R,75,24,56,155
HIP.R,69,36,48,153
MOG.R,68,39,44,151
CAL.L,65,23,61,149
SPG.L,40,56,53,149
ANG.R,49,54,46,149
STG.L,39,49,57,145
TPOsup.L,48,52,45,145
TPOmid.L,31,74,38,143
FFG.R,60,41,41,142
PCL.L,38,71,29,138
IPL.L,58,35,43,136
REC.R,23,73,37,133
CUN.R,72,18,40,130
IFGtri.L,44,42,42,128
MFG.L,37,20,70,127
STG.R,26,46,54,126
IFGorb.L,46,26,52,124
LING.L,41,44,39,124
CUN.L,67,12,36,115
TPOsup.R,20,69,18,107
OLF.L,4,78,17,99
IPL.R,27,43,26,96
MFGorb.R,29,30,35,94
ROL.L,33,31,30,94
AMYG.R,5,75,13,93
HES.L,2,88,2,92
HES.R,1,90,1,92
FFG.L,43,22,24,89
MTG.L,34,19,34,87
MFGorb.L,30,27,28,85
SFGmorb.R,24,25,31,80
AMYG.L,6,66,8,80
ROL.R,28,28,21,77
SFGmorb.L,21,21,33,75
OLF.R,9,32,32,73
ACG.R,15,40,14,69
IFGtri.R,25,15,27,67
LING.R,36,7,23,66
SMG.R,32,10,22,64
IOG.L,35,9,20,64
PHG.R,18,13,25,56
PCL.R,14,29,12,55
ACG.L,16,17,15,48
PHG.L,12,14,19,45
IOG.R,22,11,10,43
ANG.L,19,6,16,41
IFGoper.R,13,8,6,27
IFGoper.L,17,2,7,26
SMG.L,11,4,9,24
PAL.R,10,1,11,22
PAL.L,3,16,3,22
PCG.L,8,5,5,18
PCG.R,7,3,4,14
