node,cc,bw,dg,sum
PCUN.R,89,90,90,269
SPG.L,86,89,88,263
PCUN.L,88,88,87,263
PUT.R,85,87,89,261
SFG.R,87,86,85,258
SFGmed.L,79,85,76,240
SPG.R,74,84,81,239
PUT.L,72,81,83,236
SMA.L,83,78,75,236
THA.R,77,80,78,235
TPOsup.L,76,82,73,231
THA.L,81,70,79,230
SOG.L,66,77,86,229
SFGorb.R,84,83,60,227
SOG.R,57,79,82,218
SMA.R,80,68,70,218
SFG.L,78,73,63,214
CUN.R,58,71,84,213
MOG.L,51,75,80,206
ITG.L,60,74,72,206
TPOsup.R,61,72,71,204
PreCG.L,73,67,64,204
CAL.L,54,69,77,200
PoCG.L,68,65,59,192
IFGtri.R,62,61,68,191
INS.L,70,63,58,191
ITG.R,50,66,74,190
STG.L,45,76,69,190
PreCG.R,65,60,52,177
MFGorb.R,67,58,49,174
ACG.L,75,64,32,171
STG.R,39,62,67,168
IFGorb.L,53,59,55,167
INS.R,56,56,54,166
HIP.R,59,48,56,163
MTG.L,44,55,61,160
PoCG.R,52,57,50,159
TPOmid.L,63,47,48,158
CAL.R,38,52,65,155
SFGmorb.L,71,43,37,151
CAU.R,64,46,40,150
MFG.R,48,54,46,148
MTG.R,27,53,66,146
CAU.L,69,42,35,146
LING.L,40,41,62,143
MFG.L,49,50,41,140
SFGmed.R,55,45,39,139
REC.L,82,38,15,135
LING.R,30,44,57,131
IFGtri.L,31,49,51,131
IFGorb.R,32,51,47,130
TPOmid.R,42,40,36,118
FFG.R,24,36,53,113
HIP.L,43,31,38,112
PAL.R,33,32,44,109
OLF.L,90,14,3,107
FFG.L,25,35,43,103
CUN.L,23,33,45,101
DCG.R,41,27,30,98
SFGorb.L,37,39,22,98
MFGorb.L,47,28,20,95
ACG.R,36,37,21,94
MOG.R,14,34,42,90
PCL.L,35,22,27,84
IOG.L,13,30,34,77
PHG.R,20,29,28,77
IPL.L,19,26,31,76
DCG.L,29,23,24,76
AMYG.L,46,12,14,72
PHG.L,21,24,25,70
IOG.R,8,25,33,66
IFGoper.L,18,20,26,64
PCL.R,26,16,17,59
OLF.R,34,19,6,59
IFGoper.R,17,18,23,58
ANG.R,10,17,29,56
ROL.R,22,15,18,55
REC.R,16,21,5,42
IPL.R,9,11,19,39
SFGmorb.R,15,13,8,36
AMYG.R,28,4,4,36
ROL.L,12,9,13,34
PAL.L,11,10,11,32
SMG.R,5,8,16,29
PCG.L,7,7,10,24
ANG.L,3,6,12,21
PCG.R,6,5,9,20
SMG.L,1,3,7,11
HES.L,4,2,2,8
HES.R,2,1,1,4
